text,label,sub,verb,obj
i tried a burger which was good but expensive ! were lead to believe that food in the usa is cheap butnot here !,0,3,12,3
saying my friend missed her flight when she clearly sat next to me on the plane amp now you re cancelled flighting her flight home . . wtf ! ?,0,1,8,1
you re just using automated responses and don t have the decency to actually care respond,0,2,8,3
they didn t give you the wifi password ? smh,0,3,8,3
i did and then she made me feel guilty because it was economy plus and i didn t pay for the extra leg room,0,3,12,3
done messed up now ! ! ! i have planned a trip to costarica for pennies ! ! ! vacatime,0,0,6,3
"booked an award ticket recently , now same ticket is less miles . how do i contact you without using the online form or phone ?",0,3,12,2
let scanned in passengers leave the plane than told someone to remove their bag from st class bin ? uncomfortable,0,3,12,3
so what do you offer now that my flight was cancelled flighted and i m stranded away from home and work ?,0,3,8,2
just talked to reservation . must congratulation to them . very friendly . good for usair . the only airline we fly .,0,3,8,3
how do you not do maintenance on md while it sits for two days ? frozen lines found after its boarded ? come on ! faail mci,0,3,8,2
guess where ashley is . she s doing a great job presenting . ragandisney http t . co znmwxdi u,0,3,11,3
a refund and flight vouchers or another flight on a different airline at your expense for today . hour drive is very inconvenient,0,2,8,3
"was on hold for hours before you disconnected me after my flight was cancelled flightled . swell company , you .",0,0,12,3
"i am a loyal premier platinum member , but the lack of communication was really bad . also , i don t see that it has taken off yet",0,3,8,3
"good one ! and indeed , it s jetblue s finest day in history !",0,3,12,3
instead of tweeting your customers apologizing why don t you pick up your phone,0,2,8,2
it s the fact that an international should not be with out her bag and no sense of what s going on other than maintenance .,0,3,8,3
"sorry , wrong link for the bag http t . co pzal wtrez thats the one i meant",1,3,12,3
now the weight restriction ? we ll try to get as many of you as we can on this plane,0,1,8,1
either your staff or whoever you contract with at pvd is failing you big time tonight . . .,0,2,7,2
i would like your baggage damage number as well ! another great thing from your trained staff ! whats the number please . . claim time,0,3,8,2
i know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours ?,1,3,8,3
it says on you web site that u fly directly from ord to dub . when i try to book it says you do not . have you stopped ?,0,3,8,3
"getting us to where we need to be . this is not acceptable . not to mention , cancelled flighting meetings interviews for my client",0,1,12,1
i am appalled at your lack of communication during our awful journey on ewr to bos . hr delays need to be explained better .,0,3,8,2
"yes , for tomorrow at am . but i have to work though i m really mad about the situation",0,3,8,3
"its not that i wasn t offered perks by i asked and was told , no . thenewamerican",0,3,8,3
won t answer the reservation line ! nice service . we may be stuck . . .,0,3,12,1
this receipt doesn t show the evoucher value nor does it mention having used an evoucher,1,3,8,3
"flight out of vegas to dfw . cancelled flightled sunday and monday , no whammie today !",0,3,12,3
still on hold . after you hung up on me the first time ( another minutes ! ) http t . co imrlau ih,0,2,8,1
i m searching for flights to redeem with miles and getting different search results with user accounts . any reason why ?,1,3,7,3
thank you glad to be home . there were lots of delays with the plane and flight crew didn t show up . it was very frustrating .,0,2,12,3
always when i fly sw . loyalrrmember,0,3,8,3
"your bag may or may not be at the airport . unfortunately , no one at the airport is picking up the phone or responding to messages .",0,2,7,3
it was me who had the problem won flight ua . i called and rebooked myself found my own hotel and taxi,0,3,12,1
you cancelled flightled my flight to bna . i have flight from bna mdw tomorrow am . you stranded me in den . i ve been on hold all day,0,2,6,1
flight from san fransico to jfk was evacuated why ?,0,3,10,3
was that english ? i ll dm though i don t think you ll make a plane appear .,0,0,12,3
that s what i have been told . but refund doesn t really makeup for the inconvenience caused and the missed meeting . . . does it ?,0,3,12,3
thanks for making my trip home mintyfresh next brandmance flight i ll take more selfies ! love travel business,0,1,8,1
thx ! i hope so . iah to dfw to okc has turned out to be a long trip today and i have to work tomorrow .,0,3,8,3
wonder if this misery is considered a damage in a breach of contract lawsuit lawyerup,0,3,6,3
may want to direct that to the people at tok,1,3,4,3
"it s been weeks and no reply from customer relations yet . running out of time , please help . request thanks",0,3,10,3
"i m delayed in cha , will miss my connection in charlotte for lga . not good",0,3,4,1
yes ! announced we will take off . you re on it ! thank you !,0,1,12,1
when will that happen ? it really confuses when the st content to come on the in screens is about how technology forward united is .,0,3,8,3
uh yeah . flight boarded amp now hr late flightr we still sit . update on to dca ?,0,3,12,3
trying to find out if flight dfw to hou is on tonight . exec platinum desk not calling back and online info not clear .,0,3,8,3
seems a few of my friends speak highly as well . now we just need to find a decent priced way to go from yvr to sea and overnight .,0,1,8,1
where do i add my aa loyalty number to my jetblue reservation ?,1,3,8,1
most disgusting chicken entree i ve ever seen . your standards have seriously nosedived . newamerican http t . co essfoowt,0,3,8,2
can i get a refund ? i would like to book on a better airline .,0,3,4,3
is new mkt strategy to be average like all the rest ? whathappend ? rr points devalued again http t . co mdbdyomrs,0,3,8,3
hey ! check it out ! ! it s snowing in boston . who could have predicted such a thing ? ! http t . co ufyxxkisa,1,3,2,3
"you allow shady rd party services to sell your tickets and then refuse to help the customer , who s left holding the bag . flyunited",0,2,8,2
i need to request a refund on my flight that was cancelled flightled this morning due to the weather .,0,3,8,1
that doesn t really answer my question . maybe if i provide more details you can give me clarification . . .,0,3,4,1
"on hold over hrs and got cutoff ! cancelled flightled my flight , now can t get to booked cruise in florida ! terrible customer service !",0,3,12,1
awesome customer service on from rdu . they snuck my wife a warm cookie . thx !,0,3,12,3
thanks for reaching out to me . my gold div no . k j . my flights were changed under confirmation dnx v .,0,3,10,1
thank you thank you thank you ! ! ! my last attempt to win destinationdragons tickets was a success ! i could not be happier ! ! ),0,2,8,2
that s exactly the point . it fits . i m premier access . boarding group . this was a return ticket . i ve been doing this for yrs,0,3,8,3
had a maintenance issue . stuck in geneva with meal voucher that won t even cover a plate flight of spaghetti . really .,0,3,12,3
no way one person is working entire security checkpoint in ewr,0,3,7,3
"i appreciate that , and not to be rude , but it doesn t solve much . you should at least cover the cost of stolen goods .",0,3,8,3
i ll make sure he s done that . thanks for the help . this is a huge race for him and just trying to make sure it goes smoothly . peace,0,3,8,3
very upset with my hometown airline . stuck in den flt cancelled flightled . others here with me got new flt info,0,1,12,3
yep . hour at logan . gangway broke and cabin crew stuck on plane . they just arrived . passengers request butt massages .,0,3,12,3
hi . my flight from cun ewr shows a departure of pm on my united app . can you confirm ? doesn t look correct . thanks .,1,1,8,1
are there any plans for a short haul airline in europe ? would defiantly fly with you guys ),0,3,8,2
stl bos flight today was cancelled flightled . online resched form gives an error . on hold for past min . help ! terribleservice,0,3,8,3
"i know it is hard to predict , but how are flights from dallas to nashville tomorrow am ?",1,3,8,3
it s kinda funny . no worries .,0,3,8,3
"if you consider mins for bags pm on a sunday night as fast as they can , you should reconsider what you think that means .",0,2,8,3
"a very disappointing experience plane mech . delay and next one didn t wait . no sincere apology , just told me to complain online",0,3,12,3
don t think any rly knows what s goin on . supposed leave at a then a then a then a then a then a . now,0,3,8,3
you cancelled flight my flight and there s no way to rebook on the website or app ? i have to wait minutes on hold ? fail cc,0,2,12,1
need help . never got tickets . conf ggqzqd,1,3,12,3
just submitted my response on the link you sent .,1,1,12,1
requiring customers to fill out all the contact information each time seems designed to prevent or limit interaction .,0,3,6,3
"good morning , any first class upgrades available for ua feb rsw to ewr ? i need seats please",1,3,8,3
aaaand hours late flightr won t be catching a flight til am . . . stuck in at airport in a snowstorm with no hotel how s that for patience ?,0,3,12,3
i have d and d embossed badges and patches superior to the ones you are currently using . http t . co fq xelbon,1,3,8,2
"i d go to portsmouth , nh to take care of my friend s son while she takes her daughter to boston for surgery . flyingitforward",1,3,8,1
"booked award tix on thaiairways but i m not seeing a conf for them , just the united flight booking problems . can you get get the thai for me ?",1,3,8,3
i did at pm ! still no bag . .,0,3,12,3
how is it tripitpro has accurate delayed dept . times and hours late flightr i hear the same from you ? just curious,0,3,8,3
always been a fan but maybe next time i ll fly for real customer service .,0,3,8,3
thank you ! you need to follow back tho otherwise i can t dm you . x,0,2,4,3
i have been in contact with people and still no answers . you keep sending me to and they keep sending me to you !,0,3,7,2
error message said couldn t process request at the last step after seat selection on each leg . agent was unaware of an ( of ),0,3,12,3
i think she was having a rough moment w a bad passenger from an earlier flight . things got considerably better . thanks !,0,3,8,3
"hey , my bag was damaged flying with you yesterday . what can i do ?",0,1,4,2
"neveind , it s been found and on its way . thanks for making the process so painless",0,3,10,3
how about a real live person talk to the person whose luggage was lost for days and vacation wrecked .,0,3,12,3
from groupa to group c . we have never got to sit next to each other on any south west flight not even on our honey moon,0,1,8,1
origin destination dates are the same . going from us airways connecting flight to aa direct flight . award is saver level .,1,3,8,3
"you have very unhappy customer . after waiting min on hold , rude amp uncaring rep has now frozen my acct . can t print bdng pass !",0,2,8,3
my golf bag was broken on the flight i just took . what s the process for damage reimbursement ?,0,1,12,3
"in line at sfo . customer service is rude , disorganized , and congested . very dissapointing .",0,3,8,3
v upset with your disability services . when i told one of your employees i was carrying medical equipment she was very rude .,0,2,12,2
you guys should really improve the service experience with your on site personnel . this has been one of the worst experiences .,0,2,6,3
i hate you for this https t . co g wwr vbrq,0,3,8,3
"we then had to deplane , and change planes .",1,1,12,3
the folks at the executive platinum desk are great pros . they understand my displeasure with change fees and switch to sw .,0,3,8,3
"ahoy from a loyal allyoucanjetpass holder ! when do you anticipate direct us flights to havana , cuba ? ( jetblue vacation )",0,3,8,2
i wrote to you but got nothing . and i am out of us . it is very simple thing . will ypu provide compensation for your delay ?,0,3,12,2
when can i start flight booking problems for next years super bowl time ? help,1,3,4,3
ok . . . i know doors close minutes before takeoff . stop telling me my flight will leave in minutes when we haven t boarded .,0,3,8,3
your flight attendants are all jerks,0,2,8,3
"when chging flight , isit possible to pay the fare difference in dollars when the ticket was bought completely via point redemption ?",1,3,10,3
"insensitive ? foodallergies are life threatening . unsolicited uneducated opinions are inappropriate , reckless amp dangerous to ( )",0,3,8,3
"yep , they moved me to a as they showed me flying standby",1,3,12,3
thank you ! ! ! ! i will be there to pick her up on time .,0,2,4,2
we want room and food allowances . agents are refusing to give us vouchers to use at rooms we book ourselves .,0,1,8,3
thanks for the quick response . should i call daily it wait the days .,0,3,8,3
"i mean , your employees were really nice as i literally sobbed ?",0,3,8,2
i already did .,1,3,12,3
"your survey is too long . i fly a lot of segments and i ll fill it out after every trip , but not if it takes more than a minute .",0,2,8,3
"no hold times , just disconnections . there is no excuse for that",0,3,8,3
jfk nyc staff is amazing . the lax jetblue . . . sending an email with details but it was a disappointing experience,0,3,12,3
days and planes with mechanical issues ? now over . hrs late flight sitting on this plane . this is insane ! !,0,3,8,3
i used to be a committed continentalairlines flyer until merger . i remember now why i switched to communicationfail,0,3,12,3
can t book a flight online or over the phone . your customer service is usually great anything you can do to help ?,0,3,4,2
southern hospitality luggage delivery service from sav is awful . great delivering empty promises but not luggage hrs amp waiting,0,3,8,3
i need to speak to somebody about a reservation . as in talk to a human being . yet your computer system puts the phone down on,0,3,8,3
know what i like about gate x ? nothin . i like nothin bout yo ghettofab gate usairways http t . co maqw nlniu,0,3,8,3
you cancelled flight my flight and there s no way to rebook on the website or app ? i have to wait minutes on hold ? fail cc,0,2,12,1
"we had a wonderful flight attendant named leah that was with us from lga to den , then den to anchorage !",0,1,12,1
"not really the experience i was hoping , i ws forced check in a small carry on , w nothing but empty cabin space on board",0,3,6,3
none of your sample itineraries can actually be booked http t . co mf rabgn a every last leg back to us says invalid,0,2,8,1
don t they already know ? isn t everyone sharing how nasty the food is ? it s not even close to decent .,0,3,8,3
what s happened to your customer service ? cancelled flightled flights in days amp an uninformed and unapologetic staff . nolove cali,0,3,8,2
new ceo seeks the right balance to please passengers and wall . . . greenfield daily reporter http t . co lm opxkxch,1,3,8,3
you should know the crew today on flight aus to pdx was awesome ! swa,0,2,12,3
"your staff at laguardia and lagos , nigeria were unprofessional , uncaring and not helpful . ou",0,3,12,3
when are you coming back to you have a huge east bay customer base due to sfo and i miss you !,0,3,8,2
has d . c . thinking about summer with new nantucket service broadway world http t . co ds ceeenj,1,3,8,3
"is your reservation phone number working ? called x in the last days , and haven t gotten through .",0,2,8,3
here is my conf f neqm . my flight was delayed for hours while my friend waited for me on her bday . please follow up .,0,1,8,3
i m curious to know how do you compensate for passengers missing engagements due to a two hour wait on the tar mat to get to a gate,0,3,8,2
"here we go again , nd round trip to ca in a week trueblue",1,1,8,3
now i m so lucky for my forced good deed i get to be smashed between huge ppl in the exit row . thank god i m tiny .,0,3,8,3
flight scheduled for pm . . . told at am that flight is cancelled flightled after sitting on cold plane for hours .,0,3,6,3
yes i know the industry procedure on baggage . thanks for helping . . . . . what about the impossible connection that started this ?,0,3,8,3
"after a cancelled flighted flight , and delays , you lost my luggage again ! you re the worst ! disgraceful ! awful company , horrible service !",0,3,8,2
is truly the drunk uncle of boarding . don t believe gate agent that overhead is full don t reserve aisle http t . co cdzhtyd ak,0,3,8,3
"hello swa , who is your poc for partnerships with nonprofit organizations in bwi area ?",1,2,8,3
been dealing with multiple offices for the last days . youve completely lost me as a customer unless my bag is back to me .,0,0,8,1
cool thx ! only a couple more pgashow flights til i m mosaic . . . can t wait . will be easier to change flights when weathers,0,3,8,3
nd february in a row stranded us when we try to return from cancun ! no contact info no way to rebook ! badcustomerservice,0,3,12,1
"but don t you worry . . . took good care of me . . . your loss , their gain .",0,2,8,1
"thanks gang ! mind if i ask , do you handle all of your social media in house ?",0,3,8,2
thanks keep me updated just hope i make either of my connections to killeen tx,0,3,8,1
are you going to be giving travel agent rates to those who hold an iata card ? ? ?,1,0,8,2
sprinted from c concourse to e and just made it . coughed up a lung in the process but am now in clt ! tnx !,1,3,8,3
cancelled flighted,0,3,12,3
"oh , we are sure it s not planned , but it occurs absolutely consistently , it s usually the only yyj flight that s cancelled flightled daily .",0,1,8,3
"i think that flight was supposed to go to houston as well , in case someone could check that ?",1,3,8,3
would be more pleased if you reassess your business practices . goal should be to have passengers on plane as little as possible,0,3,4,3
it would be great to get a callback from the agent that disconnected me trying to put me on hold after waiting to connectfor min,0,1,12,3
no i need the corporate office number please as that is who is dealing with this for me . it s a number .,1,3,8,3
i wasn t important this morning when you would not seat my wife and i together or allow me to choose seats at flight booking problems ! !,0,3,8,3
"cancelled flightled flight this am . there was avail flight to phl today u said was sold out . i had to buy nd ticket , u need to refund me .",0,3,8,1
your airline sounds outstanding and your twitter feed is clearly extremely useful . keep up the great work,0,2,8,3
contacted yesterday and was told that there s nothing they can do they suggested i email for some compensation ? ? ? cust service ? ? ?,0,0,12,3
i appreciate you looking . can you compensate me on anything for my troubles ? still haven t taken off for a am flight,0,3,8,2
just had the worst customer service experience ever on united airlines,0,3,12,3
is the greatest airline ever truebluepoints jetbluemember,0,0,8,3
we ve been waiting for over an hour for our luggage what gives ?,0,1,8,1
new problem . . . had wrong last name on reservation which is airways fixed . new can t get through tsa,0,3,12,3
it s been three weeks since i was specifically told i would get a call back from your folks in az should i keep being patient ?,0,3,4,2
i would like to talk to a customer service agent about the service non service i received on my last flight a a week or so a go . j,0,3,12,1
while in haiti id do food distribution for hundreds of hungry kids in nearby villages . flyingitforward http t . co ltf qud xc,1,3,8,3
"except if you call now you ll get the same message . trust me , i ve tried .",0,2,8,2
trying to get a customer service agent . just landed in sfo . can t fly with layovers with kids ! !,0,3,4,3
"i saw ppl were winning tickets still , how do we win some ?",1,3,12,1
huge fan of great brands and people doing great things ? you guys rock happy to share the love !,0,3,8,3
"love the team running gate e at las tonight . waited for a delayed flight , and they kept things entertaining",0,3,12,3
it doesn t matter who you directed me to . it s the principle of the matter . when i gate checked the stroller it was,0,3,8,3
"on unscheduled aircraft change , please have a better system in place , not worth the paid upgrade . refund",0,3,8,3
i need to speak with a live person . i ve had it with the recordings . i was told on sat that we d have our luggage by yest .,0,3,8,3
do you guys have another flight for today that you can book me on from laguardia to louisville ky ?,1,0,8,2
up at am and arrive to find it already cancelled flighted . no options so miss my meeting . you might know but don t show it .,0,3,8,3
you need to follow me so i can dm you to give you the info,1,2,8,1
there is no reflight booking problems the event i m flying to attend . waiting for jetway driver ? ? ? still on tarmac ? ? ?,0,3,8,3
"i owe you an apology . my tweet was out of frustration , not constructive criticism . i m a sw fan amp love your service !",0,3,8,3
at what point in delays can i take a different flight to my destination ?,0,3,4,1
"shoutout kristie ( sp ? ) from gate pvd today . she s a rockstar , was a tremendous help in a tough situation . promotethatgirl",0,3,12,3
"if you care , could you have someone call me to explain what is going on .",0,2,8,2
tell me at what point will u realize u can t fly into dca tonight u cancelled flightled the pm when will u cancelled flight the,0,3,4,1
this is very disappointing . this is about customer service .,0,3,8,3
and then you said i could move my thursday flight for free if i call a number . and then you hang up on me .,0,2,12,2
flt crew orangecounty to denver is the best ! weather delay but pilots just invited the kids to see the cockpit ! luv,0,3,12,3
hello any one out there ? have you forgotten me ? i need a luggage for ba . your dropping the ball here .,0,3,8,2
deedee and lynn s . have been great here in phx richard p . here was a jerk . rude to us and our parents for no reason .,0,3,12,1
was so on point for of my flights this past week . . but this last one really sucks shit,0,0,12,1
this team added mins on turnaround,0,3,12,3
i m trying to merge my freq flyer accts but keep getting an error message and only a machine when calling the provided . help !,0,3,11,3
reflight booking problems for the following day is unacceptable . dming you that and our phone number .,0,3,8,3
unable to check in my flight . it says my itinerary is ineligible for checkin online . go to counter . very inconvenient ! ! !,0,1,8,1
been calling for over hrs now and getting no where but told to call back by the automated system is extremely frustrating,0,0,8,3
just kidding with you i ll send you my stuff now . thanks,1,3,8,2
my family and i are excited to see you too,0,3,6,2
"i adore you , and am so looking forward to my flight to austin in two weeks .",0,3,8,2
i been on hold with u for mins wasting my time and amp i don t appreciate it wheresthecustomerserviceat http t . co phi ifnjit,0,3,12,3
i think it s a little weak sauce you have zero inflight entertainment for a hour flight from salt lake to philadelphia,0,3,8,3
actually we did not consider she might have made a mistake . she did not complain beyond that she indicated it on her reservation .,1,1,12,3
i would like to thank the customer service team for their response to my cancelled flightled flight but just offering to ( cont ),0,3,4,3
of course u know i would like lay you down in a bedofroses as long as they re mint colored ! https t . co qyezhjgsb brandmance,0,3,8,3
nah it s for my flight next week . . inside my chairman day window but you still haven t released the last open first seat to me,0,3,8,1
"i made my flight but then still had no update emails when i landed , no info ever sent on that or second flight . losing my biz .",0,3,12,1
you could train your flight attendants to have some manners and decency,0,2,4,3
please do . hate having to fly a different airline . you re my fav .,0,3,8,2
i tried site amp doesnt allow me . same reason why i wasn t allowed to board this morning . will try diff airline for work trips,0,3,12,3
gary who is serving us at fll airport counter is really true blue ! makes me feel at home even when a jetblue flight is delayedl,0,3,7,1
"this is ridiculous . i have a am flight and two hours of rest , wasted ! ! !",0,3,8,3
i ve been doing this for years and i ve never had this many issues with any other airline .,0,3,5,3
there s a large family of birds inside t . are they fed ? are they there for a purpose ?,1,3,8,3
i m having trouble adding this flight my wife booked to my elevate account . help ? http t . co px hqoks r,0,3,8,1
i have flights with you in the next two weeks ) let s make some good memories !,0,3,8,2
hate when i get bumped out of the seat i ve selected ( amp empty row ) and moved to another seat ( non empty ) . k flt nonupgrade !,0,3,6,3
"has to be the most lazy , inconsiderate , and unprofessional airline that i have ever traveled .",0,0,8,3
no worries . you re doing the best u can . already cancelled flighted my biz trip . still luv you ! rr,0,2,8,3
", fll to lga . this is getting old . th flight in . weeks , th significant delay .",0,3,7,3
y all just cancelled flightled the flight i rebooked after st was cancelled flightled . help ? i need to be in nyc . schedule more flights tomorrow !,0,3,8,3
if you guys fuck this up again i will never forgive you,0,2,8,3
"makes total sense , except flight wasn t full ) i ve got empty seats around me amp overheads were more than half open when i boarded .",0,3,8,1
"arrived pm eastern . had to deplane on the crjs airstairs to an icy tarmac . valet bags sent to carousel , so it was pm .",0,0,12,3
the incompetence is truly stunning at this point . hours on a plane for a . hour nonstop flight .,0,3,8,3
does the economy plus cabin also qualifies as a premium cabin ?,1,0,8,3
hot stewardess flipped me off,0,3,12,1
"flight cancelled flightled , website refers to , the hangs up on me . not auto rebooked . really ? horrible company .",0,3,12,3
"awesome , thanks ! i ll give a call late flightr today . appreciate the help !",0,3,8,3
"s computer systems are down , can t leave without a flight plan ! any eta , american air ?",0,3,8,3
to aex . is it still going ?,1,3,8,3
who do we voice our concerns to when we can t get home with our month old after waiting to taxi to a gate for hours ?,0,3,8,1
"thanks for the kind words , janna ! weappreciateyou trueblue ? and now i m feeling like a boss jetbluefame",0,3,7,3
when i checked yesterday it looked like it did . did something change ?,1,3,12,3
thx ops agt rich westagard n flight att . nancy den airport . held flight n even saved seat bus select customersfirst !,0,3,8,3
it was booked through work but added upgrade on seat . need the upgrade receipt .,0,3,12,3
wtf ! why can t you update your times in a timely manner ? you ve known the fight was more delayed ! ur service is awful !,0,2,8,2
waiting for flt to chicago . why hasn t aircraft left buffalo yet ?,0,0,12,3
instead of putting the burden on your customers do the right thing and get more gate agents .,0,3,8,2
"i want to change my flight for next week , they will still charge me . waiting for fligt status",1,3,8,1
"i already landed ! but , if you still care it was . thanks for the help though ! , do you k ow what caused the failure ?",1,3,12,2
"sent . looking for that functionality in your app , though . should be a one click action .",0,0,4,2
"flights been cancelled flightled , can t get through to the desk and nothing showing online under my reservation what do i do ?",0,3,8,1
"thank you for the response , we got it resolved at the counter .",0,2,12,3
that s what is on my ticket and my confirmation email . anything else ?,1,3,12,1
congrats vx on the new route !,0,3,8,3
hi friend ! question for you when you have a moment .,1,3,8,2
thanks . now my carry on that you guys insisted be checked at the gate is missing . won t be here till late flight tomorrow morning .,0,2,12,3
thanks for taking my flight off the board and not providing and updates about my flight which is minutes late flight .,0,1,8,3
u say our safety is our highest priority but that doesn t extend our property ? this is totally nuts . http t . co xzy phkfgr,0,3,8,1
if one with why can t you use american miles ? ? ? ?,0,2,8,2
thanks . bummer . poor planning on my part . i assume the card in passbook won t work either ?,1,3,8,3
ok no worries . thanks for the straight story . it s appreciated .,0,3,10,3
yes travel is complete flight from clt to cak feb,1,3,8,3
i missed my connection already . then i missed the next flight they put me on . now i m going to lax instead of hawaii . (,0,3,12,1
you will ! ! every chance i get ! thanks for keeping me exec platinum .,0,3,8,1
what s up with flight no gate agent or plane at phx b ? nice customer service .,0,3,12,3
so the prefference option is not something that you honor ? so why having it as one of the services if not applied ?,0,3,8,2
each flight is worse than last ! flight attendants don t even know whether the plane is equipped with power outlets at the seats !,0,3,8,3
thank you for your offer ! all sorted out ),0,2,12,2
thanks i ll fill out the form that no one reads or responds to .,0,3,8,3
for two days now i have been trying to reach americanairlines customer service to change my flight .,0,3,5,1
i need this plane to get to buffalo so i can leave tonight . any progress ?,0,3,8,3
when did they start to sell water ?,1,3,12,3
we left ipad in a seat pocket . filed lost item report . received it exactly week late flightr . is that a record ? unbelievable,0,1,12,3
got another flight . thanks you,0,3,12,2
sounds like should have planned better since this weather was no surprise . completely unacceptable wait times ! ! !,0,0,12,3
"and next flight delayed as well . out of charlotte , is it just my luck or what ?",0,3,8,3
they will just say dumb things to beat around the bush ! if you re flight cancelled flightled be prepared for no compassion from them,0,3,12,3
why do i have to request refund ? why charge twice in first place ?,0,3,8,3
have been doing that for hours already,0,0,5,3
wish you had a better mobile app . you should look at the app from as it is much more seemless to check in,0,2,8,2
your crew on tonight was outstanding . god bless them and the medically trained passengers on board .,0,2,12,3
"thank u for the hr delay then boarding us onto a plane that reeks of vomit , flight attendant indicated it wasn t cleaned properly .",0,3,12,3
idiots took our plane amp gave it to someone else . fudgers ! ! ! ! flight from philly to orlando,0,3,12,1
"got rebooked on aa . one question though , do you automatically refund the check baggage fees for flight that was cancelled flightled ?",0,3,10,2
please fire the captain of flight today . he single handedly ruined every passengers day by being a piece of shit . unitedsucks,0,3,12,3
"worked w tiffany h at cust service desk in charlotte and she was helpful and patient . still stuck , but she was great .",0,3,12,3
our flight attendant announced that we have transportation waiting for us for that flight so i think we ll make it .,1,1,12,1
getting the run around today with customer service amp disconnected customer relations given twice . help ! ! !,0,3,12,3
unfortunately i doubt that the consistently subpar service will improve with the merger . usairways,0,3,4,3
seriously ? every flight i have had the past days has been delayed . every single one . terrible,0,3,6,3
you have to follow me back so that i can dm,1,2,8,1
i will be cancelled flighting my us airways credit card and choosing other airlines after my experience this week .,0,3,8,1
how do i check ? reservation for joe watson and kelsey jennings . we were on hold for hours . waiting for call back now . eta ?,0,3,8,1
my flight was delayed hrs . i m months pregnant amp supposed to be caring for my mom whose in surgery now . very upset .,0,1,10,1
thanks united for the no running water and late flight flight from grand rapids to denver,0,3,12,3
here we go again aa plane not ready . are we going to find the crew run out of time again like last night shortstaffed,0,1,8,3
i m cancelled flighting my mileageplus card and i will never do business with you again . you clearly don t care about your customers .,0,3,8,1
"when i read it say in some cases can you please define this for me , when for example would it not be the case ?",0,3,8,3
i know . just a little cold weather humor . ),1,3,8,3
"i d just like to know where my bag is , when i ll get it and why i don t have it already . no accountability from cust service .",0,3,8,1
i did not report the updated info don t know how to reach them without a super long wait on hold at your main number .,0,3,12,3
what s going on with us airways flight ? why diverted to charlotte ?,1,3,7,1
only thing i see on passbook is virgin mobile mexico . how do i integrate ?,1,3,8,3
and the number your agent gave me to call says you are not open ? and the main number goes to a computer saying it is delivered ?,0,2,12,1
true . maybe . wish i had expedited security haha,0,3,10,3
we invite to fallow learn about our activities . prevention programs of health by condom rito family . we r ( c ) ( ) thanks,1,1,8,1
"seriously , what is your solution ? who exactly will help my year old if there s a problem with the plane ? http t . co vpdrplxj a",0,2,8,3
"i hear delta is offering , miles to frequent flyers if their bags doesn t come out within minutes of landing thoughts ?",1,3,8,3
tried to book a flight iah mnl departing returning you are advertising flights for that can t be book !,0,2,4,2
"wow this airline is a joke , absolutely horrendous customer service . you guys should be ashamed .",0,3,8,2
. we made it to seattle . . .,1,1,12,3
of course this morning i see a non stop from iah to sfo but that was not available yesterday . unitedhatesusall,0,3,8,3
very poor customer service thru out each of my cxl flights i should ve flew,0,3,4,3
flt rsw could have extended the courtsey of waiting min of us . . . . gates closed in r faces . ur fired,0,3,12,1
i have talked to them . . . on standby for tomorrow but it doesn t look good . may have to stay here till friday amp that s not guaranteed,0,3,8,3
nope . the regular line was multi x faster . you literally direct all the wheelchairs and strollers into the same line as ems .,0,3,12,3
where exactly can i leave a note,0,3,4,3
and now that flight pushed back to pm departure .,0,3,12,3
with a glass of wine once we hit altitude ?,1,1,8,3
"gate changes , two delays . even the crew thinks the airline sucks",0,3,8,3
"not going as planned is an understatement . my flight was just changed again . if it weren t for a family emergency , i d cancelled flight .",0,3,6,1
i take back the comment about your team here working hard to help us a so far no solution for a hotel or food or anything fail,0,3,8,3
please improve business extra flight reservation process . can t book online ? what century are we in ? min on hold,0,3,8,1
are you expecting flights out of dfw to be cancelled flightled tomorrow am and afternoon ?,1,0,8,2
just be prepared for a claim if that bag is lost . . . too many valuables to carry in my hands . us to aa,0,3,6,3
origin destination dates are the same . going from us airways connecting flight to aa direct flight . award is saver level .,1,3,8,3
"if i had my tux , it d be a date ! umosaicmecrazy http t . co hap gbostu",0,3,12,1
i wanted to thank the great efforts of jamie mckinnie in buf she is a true pro ! during major delays she was owning it ! raise,0,3,12,3
thank you for your excellent customer service resolved issue quickly .,0,2,12,2
you guys have to be the worst . we are flying into philadelphia and have only two jetways available for an on time plane . pisspoor,0,2,8,1
i wish i was flying . . . cancelled flightled our flights tomorrow and never notified us flyus ripoff,0,3,8,3
i need your help but no one will pick up the phone .,0,3,8,2
the least you could do is offer me a ticket in coach instead of just cancelled flighting my reservation because of your glitch ! ! ! notfair,0,2,8,1
some of my kids are anxious . husband and i can t sit with all with current setup . no warning that our seats changed .,0,1,8,3
i m concerned that you will cancelled flight my flight out of bna tomorrow am . should i be ?,0,3,4,2
"hey there , can you follow us so we can dm you a question )",1,2,4,1
was told you could only refund me the cost of my original return flight ( note flight you had booked for me was more expensive ),0,2,10,3
lekvhg want to see what the cost would be to change to the flight,1,3,8,3
i just sent it over,0,3,12,3
i still like you united airlines,0,3,12,2
yeah i know that . . . but now i ll have to spend almost dollars more on my ticket since the price has gone up over the week,0,3,8,3
